2000 234 2
2023-08-19_11_42_10

Epoch 1:     train/loss: 1.1411   valid/loss: 1.0048   train/acc: 0.5196   valid/acc: 0.5428
Epoch 10:    train/loss: 0.7586   valid/loss: 0.8376   train/acc: 0.5887   valid/acc: 0.5726
Epoch 20:    train/loss: 0.7062   valid/loss: 0.7868   train/acc: 0.6095   valid/acc: 0.5871
Epoch 30:    train/loss: 0.6880   valid/loss: 0.7806   train/acc: 0.6243   valid/acc: 0.5985
Epoch 40:    train/loss: 0.6685   valid/loss: 0.7555   train/acc: 0.6358   valid/acc: 0.6092
Epoch 50:    train/loss: 0.6623   valid/loss: 0.7612   train/acc: 0.6392   valid/acc: 0.5993
Epoch 60:    train/loss: 0.6469   valid/loss: 0.7567   train/acc: 0.6471   valid/acc: 0.6100
Epoch 70:    train/loss: 0.6440   valid/loss: 0.7551   train/acc: 0.6467   valid/acc: 0.6070
Epoch 80:    train/loss: 0.6346   valid/loss: 0.7437   train/acc: 0.6508   valid/acc: 0.6108
Epoch 90:    train/loss: 0.6255   valid/loss: 0.7372   train/acc: 0.6536   valid/acc: 0.6157
Epoch 100:   train/loss: 0.6301   valid/loss: 0.7321   train/acc: 0.6535   valid/acc: 0.6066
Epoch 110:   train/loss: 0.6211   valid/loss: 0.7337   train/acc: 0.6606   valid/acc: 0.6127
Epoch 120:   train/loss: 0.6193   valid/loss: 0.7237   train/acc: 0.6583   valid/acc: 0.6131
Epoch 130:   train/loss: 0.6127   valid/loss: 0.7238   train/acc: 0.6690   valid/acc: 0.6188
Epoch 140:   train/loss: 0.6119   valid/loss: 0.7260   train/acc: 0.6574   valid/acc: 0.6154
Epoch 150:   train/loss: 0.6070   valid/loss: 0.7276   train/acc: 0.6696   valid/acc: 0.6207
Epoch 160:   train/loss: 0.6075   valid/loss: 0.7304   train/acc: 0.6645   valid/acc: 0.6119
Epoch 170:   train/loss: 0.6054   valid/loss: 0.7224   train/acc: 0.6657   valid/acc: 0.6176
Epoch 180:   train/loss: 0.6013   valid/loss: 0.7213   train/acc: 0.6739   valid/acc: 0.6299
Epoch 190:   train/loss: 0.6003   valid/loss: 0.7135   train/acc: 0.6773   valid/acc: 0.6303
Epoch 200:   train/loss: 0.5981   valid/loss: 0.7130   train/acc: 0.6721   valid/acc: 0.6280
Epoch 210:   train/loss: 0.5930   valid/loss: 0.7091   train/acc: 0.6747   valid/acc: 0.6272
Epoch 220:   train/loss: 0.5914   valid/loss: 0.7034   train/acc: 0.6744   valid/acc: 0.6268
Epoch 230:   train/loss: 0.5898   valid/loss: 0.7064   train/acc: 0.6756   valid/acc: 0.6222
Epoch 240:   train/loss: 0.5873   valid/loss: 0.7019   train/acc: 0.6758   valid/acc: 0.6253
Epoch 250:   train/loss: 0.5835   valid/loss: 0.7003   train/acc: 0.6795   valid/acc: 0.6299
Epoch 260:   train/loss: 0.5833   valid/loss: 0.6994   train/acc: 0.6795   valid/acc: 0.6314
Epoch 270:   train/loss: 0.5811   valid/loss: 0.6996   train/acc: 0.6781   valid/acc: 0.6291
Epoch 280:   train/loss: 0.5795   valid/loss: 0.6958   train/acc: 0.6809   valid/acc: 0.6287
Epoch 290:   train/loss: 0.5775   valid/loss: 0.6978   train/acc: 0.6826   valid/acc: 0.6299
Epoch 300:   train/loss: 0.5768   valid/loss: 0.6951   train/acc: 0.6856   valid/acc: 0.6306
Epoch 310:   train/loss: 0.5752   valid/loss: 0.6926   train/acc: 0.6839   valid/acc: 0.6383
Epoch 320:   train/loss: 0.5726   valid/loss: 0.6926   train/acc: 0.6848   valid/acc: 0.6364
Epoch 330:   train/loss: 0.5727   valid/loss: 0.6948   train/acc: 0.6851   valid/acc: 0.6360
Epoch 340:   train/loss: 0.5711   valid/loss: 0.6926   train/acc: 0.6877   valid/acc: 0.6402
Epoch 350:   train/loss: 0.5703   valid/loss: 0.6904   train/acc: 0.6908   valid/acc: 0.6379
Epoch 360:   train/loss: 0.5685   valid/loss: 0.6812   train/acc: 0.6899   valid/acc: 0.6440
Epoch 370:   train/loss: 0.5661   valid/loss: 0.6816   train/acc: 0.6928   valid/acc: 0.6432
Epoch 380:   train/loss: 0.5665   valid/loss: 0.6842   train/acc: 0.6940   valid/acc: 0.6409
Epoch 390:   train/loss: 0.5633   valid/loss: 0.6819   train/acc: 0.6962   valid/acc: 0.6429
Epoch 400:   train/loss: 0.5651   valid/loss: 0.6799   train/acc: 0.6940   valid/acc: 0.6429
Epoch 410:   train/loss: 0.5637   valid/loss: 0.6840   train/acc: 0.6909   valid/acc: 0.6394
Epoch 420:   train/loss: 0.5628   valid/loss: 0.6806   train/acc: 0.6954   valid/acc: 0.6398
Epoch 430:   train/loss: 0.5607   valid/loss: 0.6857   train/acc: 0.6941   valid/acc: 0.6375
Epoch 440:   train/loss: 0.5604   valid/loss: 0.6819   train/acc: 0.6946   valid/acc: 0.6371
Epoch 450:   train/loss: 0.5598   valid/loss: 0.6873   train/acc: 0.6961   valid/acc: 0.6421
Epoch 460:   train/loss: 0.5601   valid/loss: 0.6827   train/acc: 0.6983   valid/acc: 0.6455
Epoch 470:   train/loss: 0.5584   valid/loss: 0.6795   train/acc: 0.6965   valid/acc: 0.6444
Epoch 480:   train/loss: 0.5580   valid/loss: 0.6765   train/acc: 0.6980   valid/acc: 0.6459
Epoch 490:   train/loss: 0.5563   valid/loss: 0.6764   train/acc: 0.6955   valid/acc: 0.6413
